Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,INFY,EQ,1255.8,1257.9,1265.5,1255.8,1259.5,1260.45,1261.66,4253550,536653040775000.0,97445,1089987,0.2563
2021-01-04,INFY,EQ,1260.45,1269.0,1290.0,1261.15,1288.0,1288.25,1278.28,7208454,921440032900000.0,189946,3343139,0.46380000000000005
2021-01-05,INFY,EQ,1288.25,1282.0,1299.0,1275.05,1290.35,1293.8,1289.82,8145280,1050596447435000.0,168537,3346702,0.41090000000000004
2021-01-06,INFY,EQ,1293.8,1300.0,1302.0,1268.05,1282.5,1282.1,1288.38,7161715,922697558229999.9,178942,2780840,0.3883
2021-01-07,INFY,EQ,1282.1,1296.0,1297.65,1255.5,1266.5,1262.15,1266.59,10954918,1387541612090000.0,236192,5389517,0.49200000000000005
2021-01-08,INFY,EQ,1262.15,1278.25,1316.8,1278.25,1311.5,1312.1,1298.1,13186251,1711701122465000.0,227983,5653372,0.42869999999999997
2021-01-11,INFY,EQ,1312.1,1342.1,1383.35,1340.0,1375.95,1376.2,1366.8,20528626,2805855492595000.0,387124,6434782,0.3135
2021-01-12,INFY,EQ,1376.2,1378.0,1378.0,1360.0,1376.5,1371.75,1369.78,8309868,1138271008805000.0,264378,3655022,0.43979999999999997
2021-01-13,INFY,EQ,1371.75,1373.85,1392.8,1360.0,1388.65,1387.15,1378.96,14442997,1991624343580000.0,304458,6490234,0.44939999999999997
2021-01-14,INFY,EQ,1387.15,1360.0,1384.0,1318.45,1370.5,1370.5,1359.34,27521697,3741121905540000.0,530803,10370390,0.3768
2021-01-15,INFY,EQ,1370.5,1360.0,1364.45,1340.0,1343.4,1344.95,1352.96,15018441,2031942354009999.8,278300,8103557,0.5396
2021-01-18,INFY,EQ,1344.95,1338.0,1340.0,1306.0,1311.0,1312.05,1320.52,8861765,1170214882235000.0,230056,3963352,0.4472
2021-01-19,INFY,EQ,1312.05,1320.0,1331.0,1312.0,1319.35,1316.65,1320.27,5585744,737469421610000.0,178275,2574937,0.461
2021-01-20,INFY,EQ,1316.65,1320.55,1348.4,1320.55,1338.85,1339.45,1338.37,8225838,1100922184575000.0,195330,3198588,0.38880000000000003
2021-01-21,INFY,EQ,1339.45,1350.0,1361.05,1335.0,1342.0,1339.7,1344.32,6142421,825735425780000.0,156050,3033502,0.4939
2021-01-22,INFY,EQ,1339.7,1327.0,1356.0,1326.55,1336.0,1340.85,1344.65,9646591,1297126102225000.0,188343,5913234,0.613
2021-01-25,INFY,EQ,1340.85,1345.0,1347.9,1313.0,1335.0,1325.1,1337.58,6542611,875127354685000.0,159466,3814914,0.5831000000000001
2021-01-27,INFY,EQ,1325.1,1319.6,1327.55,1285.1,1300.5,1301.0,1308.99,8133665,1064686126040000.0,285525,4665656,0.5736
2021-01-28,INFY,EQ,1301.0,1291.8,1296.45,1272.55,1276.5,1276.2,1283.02,4660690,597977497230000.0,212130,2338859,0.5018
