Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,BAJFINANCE,EQ,6977.3,6975.0,7243.95,6975.0,7225.0,7219.6,7135.31,1269725,905987727995000.1,98044,448444,0.3532
2022-01-04,BAJFINANCE,EQ,7219.6,7250.0,7375.0,7235.5,7359.95,7343.0,7296.71,959173,699880606075000.0,77280,251932,0.2627
2022-01-05,BAJFINANCE,EQ,7343.0,7469.9,7691.15,7415.0,7665.0,7670.8,7585.02,2583262,1959408752309999.8,198560,679167,0.2629
2022-01-06,BAJFINANCE,EQ,7670.8,7525.0,7779.35,7521.0,7729.95,7748.25,7676.58,1535986,1179111404860000.0,127550,422371,0.275
2022-01-07,BAJFINANCE,EQ,7748.25,7763.95,7785.0,7585.0,7650.0,7659.35,7669.54,1165951,894230411560000.0,114923,348037,0.29850000000000004
2022-01-10,BAJFINANCE,EQ,7659.35,7686.0,7759.0,7669.75,7721.0,7731.3,7732.08,639060,494126180350000.0,59369,222125,0.34759999999999996
2022-01-11,BAJFINANCE,EQ,7731.3,7739.0,7759.95,7571.0,7662.3,7669.85,7652.14,1037912,794225281130000.0,110618,381965,0.368
2022-01-12,BAJFINANCE,EQ,7669.85,7726.0,7869.0,7691.8,7774.4,7774.5,7792.12,1458404,1136406540555000.0,161132,619459,0.42479999999999996
2022-01-13,BAJFINANCE,EQ,7774.5,7828.0,7849.55,7774.0,7803.0,7808.35,7808.26,616374,481280830010000.06,72924,207512,0.3367
2022-01-14,BAJFINANCE,EQ,7808.35,7775.0,7846.1,7728.5,7820.0,7832.2,7803.67,569635,444524242600000.0,61554,141273,0.24800000000000003
2022-01-17,BAJFINANCE,EQ,7832.2,7819.5,7910.0,7801.55,7849.3,7852.6,7865.82,679774,534698047285000.06,66198,205248,0.3019
2022-01-18,BAJFINANCE,EQ,7852.6,7899.95,7945.0,7716.05,7770.0,7744.0,7845.63,1130024,886575060250000.0,111720,319859,0.2831
2022-01-19,BAJFINANCE,EQ,7744.0,7850.0,8045.0,7473.0,7590.0,7571.8,7741.33,5000317,3870909233865000.0,389986,1370015,0.27399999999999997
2022-01-20,BAJFINANCE,EQ,7571.8,7610.0,7650.0,7401.0,7534.0,7530.25,7509.58,2910383,2185574792700000.0,172339,1568433,0.5389
2022-01-21,BAJFINANCE,EQ,7530.25,7402.5,7499.0,7305.85,7372.85,7373.75,7408.26,1370450,1015265319850000.0,174296,499980,0.36479999999999996
2022-01-24,BAJFINANCE,EQ,7373.75,7350.0,7350.0,6817.7,6904.75,6931.75,7016.98,2502582,1756057645800000.0,285198,914747,0.41500000000000004
2022-01-25,BAJFINANCE,EQ,6931.75,6900.0,6996.0,6752.2,6949.75,6963.75,6893.1,2525934,1741150467159999.8,235372,1074069,0.4252
2022-01-27,BAJFINANCE,EQ,6963.75,6823.6,6902.35,6708.1,6870.0,6837.0,6827.06,1761028,1202263998870000.0,180829,623641,0.35409999999999997
2022-01-28,BAJFINANCE,EQ,6837.0,6961.05,7045.6,6845.0,6848.0,6867.25,6967.48,1467522,1022493140150000.0,147835,572016,0.3898
2022-01-31,BAJFINANCE,EQ,6867.25,6979.9,7075.9,6930.1,7003.9,7000.25,7008.31,1251249,876914438295000.1,117386,395981,0.3165
2022-02-01,BAJFINANCE,EQ,7000.25,7075.9,7115.8,6886.0,7077.0,7014.6,7030.43,1383449,972623818010000.0,124806,426223,0.3081
2022-02-02,BAJFINANCE,EQ,7014.6,7100.0,7280.0,7095.0,7248.0,7247.45,7224.19,1339821,967911976665000.0,134135,434862,0.3246
2022-02-03,BAJFINANCE,EQ,7247.45,7253.0,7287.05,7100.0,7105.0,7110.65,7158.23,839856,601188403390000.0,103058,351385,0.41840000000000005
2022-02-04,BAJFINANCE,EQ,7110.65,7090.0,7188.4,7055.0,7148.0,7158.4,7130.87,823208,587019169160000.0,87401,249249,0.3028
2022-02-07,BAJFINANCE,EQ,7158.4,7165.0,7165.0,6881.0,6921.0,6930.6,6980.81,1183012,825837759205000.0,131834,397985,0.33640000000000003
2022-02-08,BAJFINANCE,EQ,6930.6,7000.0,7147.0,6914.7,7043.0,7055.0,7023.74,1640542,1152273881990000.0,148923,446140,0.27190000000000003
2022-02-09,BAJFINANCE,EQ,7055.0,7128.55,7157.9,7070.0,7107.55,7117.35,7116.89,649166,462004473125000.0,61527,191427,0.2949
2022-02-10,BAJFINANCE,EQ,7117.35,7135.0,7240.0,7065.0,7135.05,7137.0,7154.47,1244200,890159291490000.0,132389,471759,0.37920000000000004
2022-02-11,BAJFINANCE,EQ,7137.0,7040.0,7079.95,6921.05,6995.0,7011.6,7001.64,1276461,893732070465000.0,137055,523614,0.41020000000000006
2022-02-14,BAJFINANCE,EQ,7011.6,6810.0,6930.0,6744.05,6760.0,6785.95,6844.88,1169766,800690828925000.0,128452,406186,0.3472
2022-02-15,BAJFINANCE,EQ,6785.95,6800.0,7195.0,6785.95,7165.0,7142.05,6972.42,1346820,939059842500000.0,137043,343211,0.2548
2022-02-16,BAJFINANCE,EQ,7142.05,7185.0,7224.95,7050.0,7063.35,7068.6,7128.06,1054041,751327159590000.0,102526,230911,0.21910000000000002
2022-02-17,BAJFINANCE,EQ,7068.6,7120.0,7128.0,6982.0,7055.0,7082.45,7071.34,903616,638977914560000.0,85195,218189,0.2415
2022-02-18,BAJFINANCE,EQ,7082.45,7020.0,7116.0,7010.0,7029.85,7030.1,7069.13,762517,539033034105000.0,72966,181765,0.2384
2022-02-21,BAJFINANCE,EQ,7030.1,7000.0,7080.9,6911.0,7010.0,7006.35,7001.23,816664,571765627495000.0,68345,203585,0.2493
2022-02-22,BAJFINANCE,EQ,7006.35,6800.0,7036.15,6789.0,7011.0,7011.35,6937.19,1258732,873206295135000.0,122948,413806,0.3287
2022-02-23,BAJFINANCE,EQ,7011.35,7060.0,7117.35,7027.45,7030.0,7044.55,7079.96,795228,563018309550000.0,91677,285131,0.3586
2022-02-24,BAJFINANCE,EQ,7044.55,6800.0,6900.2,6592.45,6605.95,6627.8,6757.61,1930040,1304245476740000.0,192285,762172,0.39490000000000003
2022-02-25,BAJFINANCE,EQ,6627.8,6800.0,6989.95,6759.0,6968.8,6969.4,6913.6,1413281,977085333295000.1,135065,385735,0.2729
