Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-01-03,MARUTI,EQ,7426.45,7420.0,7605.95,7420.0,7529.95,7523.9,7529.53,456599,343797580175000.0,46690,94358,0.20670000000000002
2022-01-04,MARUTI,EQ,7523.9,7600.0,7649.0,7520.0,7615.0,7630.1,7606.66,495182,376668226310000.0,51866,132092,0.2668
2022-01-05,MARUTI,EQ,7630.1,7624.85,7808.0,7605.6,7771.9,7775.35,7730.63,710043,548908302845000.0,75781,320998,0.4521
2022-01-06,MARUTI,EQ,7775.35,7782.0,7899.45,7683.95,7872.0,7882.1,7835.89,739981,579840939760000.0,72448,256188,0.3462
2022-01-07,MARUTI,EQ,7882.1,7882.1,7944.8,7835.5,7911.0,7906.0,7890.89,523116,412785206350000.0,53377,246323,0.47090000000000004
2022-01-10,MARUTI,EQ,7906.0,7950.0,8232.0,7924.15,8118.9,8125.6,8135.69,827930,673577974520000.0,103098,226323,0.27340000000000003
2022-01-11,MARUTI,EQ,8125.6,8100.0,8162.45,8069.3,8138.0,8143.85,8114.04,688923,558994776455000.0,79062,414854,0.6022
2022-01-12,MARUTI,EQ,8143.85,8200.0,8200.0,8115.0,8138.0,8170.75,8160.54,288174,235165531144999.97,40617,128185,0.4448
2022-01-13,MARUTI,EQ,8170.75,8175.0,8260.0,7952.0,8066.0,8077.05,8083.0,684931,553629537795000.0,64397,284024,0.4147
2022-01-14,MARUTI,EQ,8077.05,7951.0,8145.0,7951.0,8081.05,8084.2,8087.33,299536,242244688360000.0,36320,96620,0.3226
2022-01-17,MARUTI,EQ,8084.2,8124.8,8368.9,8100.1,8261.0,8265.5,8289.21,862249,714736174700000.0,94522,297268,0.3448
2022-01-18,MARUTI,EQ,8265.5,8248.95,8248.95,7891.5,7929.0,7915.15,8016.06,785199,629420385080000.0,92055,323818,0.41240000000000004
2022-01-19,MARUTI,EQ,7915.15,7929.0,8060.0,7860.0,8055.0,8015.7,7935.61,681632,540916399070000.0,76718,331483,0.4863
2022-01-20,MARUTI,EQ,8015.7,8000.0,8140.0,7997.55,8048.0,8036.35,8070.8,522850,421981971540000.0,86492,188548,0.36060000000000003
2022-01-21,MARUTI,EQ,8036.35,7970.0,8244.0,7856.05,8180.0,8189.6,8149.06,1041476,848705093920000.0,99619,464284,0.4458
2022-01-24,MARUTI,EQ,8189.6,8189.0,8332.8,7952.8,8038.45,8052.3,8137.0,1153538,938634380479999.9,147137,649635,0.36
2022-01-25,MARUTI,EQ,8052.3,7990.0,8664.0,7887.9,8650.1,8602.6,8358.73,2162832,1807853869125000.0,229372,712872,0.3296
2022-01-27,MARUTI,EQ,8602.6,8656.0,8971.65,8400.05,8801.0,8820.2,8669.56,2899559,2513789508135000.0,272736,1031182,0.3556
2022-01-28,MARUTI,EQ,8820.2,8795.0,8930.0,8522.35,8537.15,8550.95,8690.84,1045088,908269452670000.1,124804,346637,0.33170000000000005
2022-01-31,MARUTI,EQ,8550.95,8625.0,8720.0,8552.8,8584.95,8597.3,8649.14,561419,485579276170000.0,71011,193611,0.34490000000000004
2022-02-01,MARUTI,EQ,8597.3,8693.0,8790.8,8351.0,8567.95,8559.4,8574.32,819689,702827178045000.0,95010,255204,0.3113
2022-02-02,MARUTI,EQ,8559.4,8579.7,8683.0,8440.25,8530.0,8515.25,8545.64,580433,496016994245000.0,88013,210042,0.3619
2022-02-03,MARUTI,EQ,8515.25,8550.0,8798.0,8522.7,8579.0,8593.65,8679.83,810019,703082725815000.0,110587,145605,0.17980000000000002
2022-02-04,MARUTI,EQ,8593.65,8639.9,8680.0,8492.1,8534.1,8550.55,8554.22,404421,345950553210000.0,53568,139754,0.3456
2022-02-07,MARUTI,EQ,8550.55,8545.0,8615.0,8400.0,8505.0,8511.65,8481.5,446099,378359052815000.0,69565,118693,0.2661
2022-02-08,MARUTI,EQ,8511.65,8616.7,8789.1,8436.05,8604.85,8599.45,8606.22,998182,859057405829999.9,111099,271811,0.2723
2022-02-09,MARUTI,EQ,8599.45,8622.0,8989.8,8622.0,8960.75,8949.45,8872.05,1403525,1245214743705000.0,138958,552702,0.39380000000000004
2022-02-10,MARUTI,EQ,8949.45,9050.0,9050.0,8789.9,8799.0,8805.45,8863.21,811887,719592701155000.0,96059,341625,0.4208
2022-02-11,MARUTI,EQ,8805.45,8738.0,8865.0,8673.3,8732.0,8737.15,8776.48,671572,589404094005000.0,77804,229313,0.34149999999999997
2022-02-14,MARUTI,EQ,8737.15,8500.0,8615.05,8325.0,8361.0,8366.4,8441.82,995540,840417076790000.0,105940,450692,0.45270000000000005
